"","precinct","party","votes"
"1160","1573142","D",899
"1161","1573143","D",1833
"1162","1573144","D",781
"1163","1573145","D",571
"1164","1573146","D",1453
"1165","1573148","D",912
"1166","1573149","D",482
"1167","1573150","D",2231
"1168","1574011","D",354
"1169","1574020","D",532
"1170","1574026","D",830
"1171","1574027","D",0
"1172","1574028","D",760
"1173","1574029","D",314
"1174","1574030","D",783
"1175","1574035","D",525
"1176","1574039","D",330
"1177","1574042","D",159
"1178","1574044","D",964
"1179","1574045","D",565
"1180","1574046","D",858
"1181","1574047","D",249
"1182","1574049","D",1357
"1183","1574062","D",1288
"1184","1574064","D",271
"1185","1574065","D",1354
"1186","1574071","D",179
"1187","1574079","D",116
"1188","1574080","D",341
"1189","1574082","D",1166
"1190","1574084","D",429
"1191","1574086","D",880
"1192","1574102","D",772
"1193","1574105","D",389
"1194","1574107","D",426
"1195","1574110","D",714
"1196","1574111","D",354
"1197","1574117","D",1386
"1198","1574119","D",635
"1199","1574121","D",236
"1200","1574124","D",1373
"1201","1574125","D",1442
"1202","1574126","D",2187
"1203","1574127","D",970
"1204","1574129","D",1334
"1205","1574131","D",464
"1206","1574135","D",2719
"1207","1574140","D",803
"1208","1574147","D",1084
"1209","1610001","D",205
"1210","1610002","D",279
"1211","1610003","D",7
"1212","1610004","D",28
"1213","1610005","D",305
"1214","1610006","D",33
"1215","1610007","D",90
"1216","1610008","D",45
"1217","1610009","D",58
"1218","1610010","D",5
"1219","1610011","D",176
"1220","1610012","D",12
"1221","1610013","D",22
"1222","1610014","D",61
"1223","1610015","D",31
"1224","1630001","D",385
