School District,Total,Anglo,Black,Hisp,B+H,Other
,4049,1933,1145,1005,2062,54
Conroe ISD,258552,175816,14356,58042,71457,11279
,72463,42632,4981,21687,26224,3607
Coolidge ISD,1422,643,265,495,754,25
,410,122,93,190,280,8
Cooper ISD,4723,3917,403,264,654,152
,1090,811,136,112,241,38
Coppell ISD,44419,26146,2307,4478,6687,11586
,13993,7311,750,1727,2423,4259
Copperas Cove ISD,35700,21487,7163,5290,11918,2295
,10378,5274,2721,2077,4496,608
Corpus Christi ISD,235270,66854,12085,151590,161957,6459
,60205,10537,3759,45465,48145,1523
Corrigan-Camden ISD,4890,2617,1110,1127,2227,46
,1319,540,361,415,770,9
Corsicana ISD,29028,14611,5446,8346,13612,805
,8150,2914,1641,3442,4970,266
Cotton Center ISD,388,230,14,143,156,2
,104,56,5,44,48,0
Cotulla ISD,6790,845,45,5874,5898,47
,1483,131,20,1340,1347,5
Coupland ISD,922,753,15,136,150,19
,224,149,7,62,69,6
Covington ISD,1439,1306,13,98,110,23
,321,275,5,36,40,6
Crandall ISD,11978,9213,1103,1445,2517,248
,3721,2635,417,611,1008,78
Crane ISD,4375,1761,150,2409,2538,76
,1289,359,60,872,916,14
Cranfills Gap ISD,876,795,5,69,74,7
,168,139,0,28,28,1
Crawford ISD,2504,2253,43,175,216,35
,675,589,10,63,73,13
Crockett County Cons CSD,3719,1312,37,2352,2366,41
,994,206,16,780,782,6
Crockett ISD,9477,4401,3648,1322,4930,146
,2319,673,1060,543,1587,59
Crosby ISD,24689,15435,4154,4815,8894,360
,6898,3654,1259,1939,3143,101
Crosbyton Cons ISD,2248,1064,111,1072,1172,12
,589,191,41,360,395,3
Cross Plains ISD,2667,2479,6,140,146,42
,540,474,4,56,60,6
Cross Roads ISD,3022,2733,62,189,243,46
,791,679,34,76,105,7
Crowell ISD,1372,1117,54,190,244,11
,281,196,23,59,82,3
Crowley ISD,86195,38780,24968,17915,42210,5205
,25438,8334,9154,6825,15587,1517
Crystal City ISD,8573,304,76,8226,8256,13
,2650,52,48,2580,2595,3
Cuero ISD,10484,5044,1604,3769,5255,185
,2297,843,406,1049,1374,80
Culberson County-Allamore ISD,2415,511,24,1837,1850,54
,671,90,9,565,568,13
Cumby ISD,2148,1957,16,133,148,43
,519,442,11,52,63,14
Cushing ISD,2932,2504,168,199,366,62
,656,543,29,68,97,16
Cypress-Fairbanks ISD,496517,215951,72116,159497,227610,52956
,148793,51495,25177,59327,82366,14932
D'Hanis ISD,1625,1024,5,586,591,10
,377,193,1,181,182,2
Daingerfield-Lone Star ISD,8517,5358,2307,735,3032,127
,1970,976,646,328,966,28
Dalhart ISD,10237,6163,538,3376,3892,182
,2576,1379,60,1092,1138,59
Dallas ISD,1020695,270664,257281,469234,720117,29914
,271351,31575,67352,169685,233984,5792
Damon ISD,1232,828,27,354,376,28
,329,171,14,140,149,9
Danbury ISD,4336,3433,227,605,827,76
,1021,798,22,171,192,31
Darrouzett ISD,471,382,2,79,81,8
,135,87,2,43,45,3
Dawson ISD (Dawson),398,238,8,159,160,0
,120,53,5,66,67,0
Dawson ISD (Navarro),2752,2275,229,215,438,39
,633,464,68,97,160,9
Dayton ISD,28170,18697,3324,5759,9015,458
,6734,4082,677,1908,2553,99
De Kalb ISD,4580,3335,929,201,1117,128
,1065,690,258,86,336,39
De Leon ISD,4322,3326,25,938,955,41
,1028,664,17,344,356,8
Decatur ISD,14614,10989,208,3175,3362,263
,3934,2545,91,1239,1315,74
Deer Park ISD,50037,30383,1472,16791,18093,1561
,13776,6559,625,6321,6838,379
Del Valle ISD,59593,12899,8247,36925,44458,2236
,16722,1400,2239,13185,15076,246
Dell City ISD,620,269,27,326,343,8
,134,43,19,76,91,0
Denison ISD,27555,21847,2308,2334,4575,1133
,6278,4264,819,938,1713,301
Denton ISD,158207,103022,16229,31016,46473,8712
,37241,20431,4480,10779,14866,1944
Denver City ISD,5798,2112,96,3542,3612,74
,1838,442,37,1360,1381,15
DeSoto ISD,52891,8942,36223,7467,43182,767
,15570,1228,11492,2958,14142,200
Detroit ISD,2227,1941,173,63,231,55
,537,447,51,22,71,19
Devers ISD,941,706,73,153,223,12
,245,172,17,57,72,1
Devine ISD,9217,4407,118,4626,4701,109
,2578,962,40,1576,1596,20
Dew ISD,854,717,81,49,129,8
,200,164,19,17,36,0
Deweyville ISD,3701,3487,36,97,132,82
,882,808,14,41,54,20
Diboll ISD,9015,4282,1324,3374,4657,76
,2468,900,339,1225,1533,35
Dickinson ISD,51334,27132,6554,15641,21892,2310
,13770,5206,2178,5956,7957,607
Dilley ISD,4774,784,452,3472,3912,78
,1090,113,2,969,971,6
Dime Box ISD,1222,710,301,208,498,14
,267,106,84,84,160,1
Dimmitt ISD,5518,1752,127,3588,3703,63
,1762,323,47,1377,1419,20
Divide ISD,174,146,0,28,28,0
,36,26,0,10,10,0
Dodd City ISD,1007,932,31,32,63,12
,233,194,21,15,36,3
Donna ISD,58681,4241,184,54273,54319,121
,22391,445,98,21884,21904,42
Doss Cons CSD,307,277,2,21,23,7
,56,47,0,7,7,2
Douglass ISD,1952,1633,109,186,293,26
,485,381,24,75,98,6
Dripping Springs ISD,22772,18977,302,2751,3022,773
,6427,5011,130,1053,1161,255
Driscoll ISD,1406,212,5,1183,1188,6
,433,42,4,386,390,1
Dublin ISD,7146,4519,73,2486,2541,86
,2020,975,30,997,1020,25
Dumas ISD,19719,7192,380,10592,10899,1628
,6317,1486,119,4130,4214,617
Duncanville ISD,69078,17102,27993,22416,49826,2150
,20185,2358,8828,8802,17307,520
Eagle Mountain-Saginaw ISD,79354,48888,6508,19616,25714,4752
,24441,12656,2624,8017,10391,1394
Eagle Pass ISD,54258,1552,200,51914,52004,702
,18323,391,88,17637,17664,268
Eanes ISD,35424,28992,340,2836,3145,3287
,9757,7476,135,1001,1121,1160
Early ISD,5221,4332,59,715,773,116
,1293,927,31,304,334,32
East Bernard ISD,4142,2857,296,977,1257,28
,1135,706,95,340,426,3
East Central ISD,45223,15791,4315,24944,28843,589
,12913,2951,1304,8773,9814,148
East Chambers ISD,6277,4191,543,1478,1997,89
,1708,938,137,626,751,19
Eastland ISD,6593,5390,118,1001,1113,90
,1515,1065,45,388,428,22
Ector County ISD,137130,56306,6847,72331,78378,2446
,39808,11041,2476,26196,28168,599
Ector ISD,1121,1023,11,50,60,38
,277,242,4,17,21,14
Edcouch-Elsa ISD,18121,400,123,17682,17707,14
,6583,104,59,6468,6477,2
Eden Cons ISD,3344,1213,101,2045,2099,32
,439,231,10,205,208,0
Edgewood ISD (Bexar),58041,1344,1451,55320,56371,326
,17822,234,422,17281,17491,97
Edgewood ISD (Van Zandt),5151,4525,227,321,539,87
,1243,1015,88,122,203,25
Edinburg Cons ISD,137001,8505,1634,125193,126358,2138
,47274,1470,458,44992,45207,597
Edna ISD,7840,4626,942,2246,3119,95
,2030,923,332,803,1086,21
El Campo ISD,17808,8083,2009,7678,9576,149
,5029,1548,664,2853,3454,27
El Paso ISD,328584,66355,17141,239597,253438,8791
,91005,12063,6011,72711,76912,2030
Electra ISD,3174,2541,204,388,582,51
,765,505,88,166,249,11
Elgin ISD,19452,9105,2625,7562,10020,327
,5676,1913,919,2866,3681,82
Elkhart ISD,6128,5301,382,354,724,103
,1581,1301,107,143,244,36
Elysian Fields ISD,4852,3841,749,195,936,75
,1226,949,185,76,256,21
Ennis ISD,26542,13581,3045,9714,12642,319
,7735,2894,976,3847,4751,90
Era ISD,1764,1589,9,106,115,60
,435,373,7,37,44,18
Etoile ISD,1453,1384,11,43,54,15
,302,276,8,13,21,5
Eula ISD,2586,2185,108,244,347,54
,597,435,53,94,144,18
Eustace ISD,7971,7235,155,440,588,148
,1681,1419,53,177,223,39
Evadale ISD,1636,1587,12,32,44,5
,440,420,11,9,20,0
Evant ISD,1562,1321,12,198,210,31
,326,233,6,78,84,9
Everman ISD,22426,4674,8843,8605,17272,480
,7308,654,3050,3575,6528,126
Excelsior ISD,613,525,11,76,87,1
,159,122,3,34,37,0
Ezzell ISD,727,685,3,27,30,12
,160,146,1,11,12,2
Fabens ISD,9021,399,61,8590,8601,21
,3123,108,22,3011,3011,4
Fairfield ISD,9450,6681,1424,1218,2613,156
,2290,1394,367,492,846,50
Falls City ISD,1745,1474,12,244,254,17
,437,351,8,73,80,6
Fannindel ISD,1465,1077,285,74,358,30
,332,193,101,29,130,9
Farmersville ISD,7535,5550,414,1414,1812,173
,2017,1307,132,543,664,46
