"","PCTKEY","DISTRICT_N","intesecting"
"16946","50018","3905",0
"16947","50019","3903",0.988027672683838
"16948","50019","3902",0.0119723273158041
"16949","50020","3903",0.983028796689619
"16950","50020","3902",0.00608338228370932
"16951","50020","3907",0.010887821026363
"16952","50021","3903",0.00883441860803209
"16953","50021","3907",0.991165581393723
"16954","50022","174904",0
"16955","50022","3902",0.0874647597116821
"16956","50022","3907",0.860949216249474
"16957","50022","37909",0.0515860240388838
"16958","50023","113906",0
"16959","50023","3902",6.80291635758628e-11
"16960","50023","3907",0.925648438414436
"16961","50023","37909",0.0743515615173456
"16962","50024","3903",0.00222172836984461
"16963","50024","3902",0.997778271627283
"16964","50025","3903",0.0046641754323406
"16965","50025","3902",0.466695938397924
"16966","50025","3907",0.528639886168456
"16967","50026","3903",0.993984908284176
"16968","50026","3904",0.00299265320959217
"16969","50026","3905",0.00302243850640197
"16970","50027","3903",0.000192831739317357
"16971","50027","3904",0
"16972","50027","229906",0
"16973","50027","3905",0.999807168260328
"16974","50027","187904",0
"16975","50027","3906",0
"16976","50028","3903",0.6228224814758
"16977","50028","3905",0.377177518525174
"16978","50029","174904",0
"16979","50029","3907",0.999999999999649
"16980","50030","3904",0.999661086608002
"16981","50030","174910",0
"16982","50030","3906",0.000338913394882443
"16983","50031","3903",0
"16984","50031","3905",1.00000000000004
"16985","50031","187904",0
"16986","50032","3903",0.0139720501381464
"16987","50032","3904",0.704652573081278
"16988","50032","229906",0
"16989","50032","3905",0
"16990","50032","3906",0.281375376778521
"16991","50033","3903",0.000172555919919376
"16992","50033","3904",0.999827444080995
"16993","50034","3903",1.00000000000004
"16994","50034","3905",0
"16995","50035","3903",1.00000000000034
"16996","50036","3902",1.00000000000226
"16997","50037","3903",0.857439657994086
"16998","50037","3905",0.142560342004783
"16999","50038","3903",0.0169519568036476
"17000","50038","3905",0.983048043196947
"17001","50039","3903",0.771553744516483
"17002","50039","3902",0.228446255482899
"17003","50040","3903",0.99999999999994
"17004","5010101","83903",0
